## Full Exercise List by Category
### CHEST
| Exercise | Primary Muscles | Equipment |
### LEGS
| Exercise | Primary Muscles | Equipment |
|---|---|---|
| Barbell Hack Squats | — | Barbell |
| Seated Hip Adduction | Glutes | Machine |
| Barbell Lunges Standing | Quads | Barbell |
| Barbell Lunges Walking | — | Barbell |
| Leg Curls (standing) | Hamstrings | Machine |
| Leg Press on Hackenschmidt Machine | Quads | Machine |
| Leg Presses (narrow) | Quads | Machine |
| Leg Presses (wide) | Quads | Machine |
| Leg Press | Hamstrings, Calves, Glutes, Quads | Machine |
| Pistol Squat | Hamstrings, Glutes | Bodyweight |
| Barbell Hack Squats | — | Barbell |
| Overhead Squat | — | Barbell |
| Leg Extension | Quads | Machine |
| Wall Squat | Quads, Hamstrings | Bodyweight |
| Dumbbell Sumo Deadlift | — | Dumbbell |
| Dumbbell Front Squat | Glutes, Quads | Dumbbell |
| Kettlebell One Legged Deadlift | Glutes | Kettlebell |
| Dumbbell Hip Thrust | Glutes, Quads | Dumbbell |
| Dumbbell Rear Lunge | Glutes, Quads | Dumbbell |
| Dumbbell Romanian Deadlift | Hamstrings, Glutes | Dumbbell |
| Dumbbell Side Squat | Glutes, Quads | Bodyweight |
| Dumbbell Frog Press | Glutes | Dumbbell |
| Thruster | Anterior deltoid | Barbell |
| Dumbbell Thruster | Hamstrings, Glutes, Quads | Dumbbell |
| Dumbbell Split Squat | — | Dumbbell |
| Dumbbell Deadlift | — | Dumbbell |
| Calf Raise with machine (seated) | — | Machine |
| Dumbbell Romanian Deadlifts | Quads | Dumbbell |
| Seated Hip Abduction | Gluteus maximus | Machine |
| Single Leg RDL | Hamstrings, Glutes | Bodyweight |
| Hamstring Kicks | Biceps femoris | Bodyweight |
| Toe Touch | Hamstrings, Glutes | Bodyweight |
| Elephant Walks | Biceps femoris | Bodyweight |
| Good Morning | Biceps femoris | Bodyweight |
| Single Leg Hamstring Stretch | Biceps femoris | Bodyweight |
| Crossbody Leg Swings | Biceps femoris | Bodyweight |
| Standing Pancake | Biceps femoris | Bodyweight |
| Hamstring Chokes | Biceps femoris | Bodyweight |
| Crossbody Hamstring Stretch | Biceps femoris | Bodyweight |
| Bodyweight lunge HD | Quads | Bodyweight |
| Lateral Push Off | Gastrocnemius | Bodyweight |
| Leg Swings (Front-Back) | Biceps femoris | Bodyweight |
| Double Leg Calf Raise | Calves, Soleus | Bodyweight |
| Exercise Band Dorsiflexion | Soleus | Resistance band |
| Exercise Band Plantarflexion | Calves, Soleus | Resistance band |
| Standing Calf Stretch | Calves | Bodyweight |
| Standing Soleus Stretch | Soleus | Bodyweight |
| Seated Dumbbell Calf Raise | Calves | Dumbbell |
| Sitting Calf Raises | Calves | Machine |
| Leg Press Toe Press | Calves | Machine |
| Kettlebell sumo deadlift | Hamstrings, Glutes, Quads | Kettlebell |
| Smith Machine Split Squat | Hamstrings, Quads | Barbell |
| Sliding Lateral Lunge | Hamstrings, Glutes, Quads | Barbell |
| Copenhagen Adduction Exercise | Glutes, Quads | Bench |
| Single-Leg Lunge with Kettlebell | Calves, Glutes, Quads | Kettlebell |
| Single-leg side glute press | Calves, Glutes, Quads | Incline bench |
| Single-Leg Deadlift with Dumbbell | Hamstrings, Glutes | Dumbbell |
| Dumbbell Hip Thrust | Glutes | Bench |
| Glute Kickback (Machine) | Glutes | Machine |
| Standing Adduction (Cable) | — | Cable |
| Isometric Squat to Failure | Glutes, Quads | Bodyweight |
| Standing IT Band Stretch | — | Bodyweight |
| Pigeon Stretch | — | Bodyweight |
| Quad Stretch | — | Bodyweight |
| Runners Lunge Stretch | — | Bodyweight |
| Lying Figure Four Stretch | — | Bodyweight |
| Lying Hamstring Stretch with Band | — | Bodyweight |
| Lying Knee to Chest Stretch | — | Bodyweight |
| Hip Flexor Stretch | — | Bodyweight |
| Lunge with Twist Stretch | — | Bodyweight |
| Butterfly Stretch | — | Bodyweight |
| Banded Ankle Mobility | — | Resistance band |
| Ankle Roll | — | Bodyweight |
| Hip Crossover | — | Bodyweight |
| Hip Circles | — | Bodyweight |
| Banded Clamshell | Glutes, Abs | Resistance band |
| Standing Pancake Good Morning | Hamstrings | Bodyweight |
| Seated Pancake Good Morning | Glutes | Bodyweight |
| Horse Stance (Side Splits) | Glutes | Bodyweight |
| Foam Roller Gluteus | Glutes | — |
| Foam Roller Adductors | — | — |
| Foam Roller quadriceps | Quads | — |
| Foam Roller Iliotibial band | Quads | — |
| Calves foam roller | Calves | — |
| Hamstring Foam roller | — | — |
| Landmine Squat to Press | Shoulders, Glutes, Quads | Barbell |
| Barbell Step Back Lunge | Quads | Barbell |
| Solo Hip Flexor Stretch | — | Bodyweight |
| Bent-Leg Hamstring Stretch | — | Bodyweight |
| Double Kettlebell Front Squat | Glutes, Quads | Kettlebell |
| Australian pull-ups | Shoulders, Biceps, Lats | Bodyweight |
| Dumbbell Single-leg Hip Thrust | Glutes | Barbell |
| seated figure four | Gluteus maximus | Bench |
### ABS / CORE
| Exercise | Primary Muscles | Equipment |
|---|---|---|
| Commando Pull-ups | Shoulders, Biceps, Lats, Trapezius | Pull-up bar |
| Abdominal Stabilization | Abs | Gym mat |
| Kettlebell Swing | Shoulders, Glutes | Kettlebell |
| Medicine ball booklet crunch | Abs | — |
| Box squat | Glutes, Quads | Bodyweight |
| Knee Raises | Abs | Pull-up bar |
| Barbell Ab Rollout | Obliques | Barbell |
| Ball Crunches | — | Swiss Ball |
| Machine Crunches | Rectus abdominis | Machine |
| Burpees | — | Bodyweight |
| Incline Crunches | Rectus abdominis | Incline bench |
| Crunches | Rectus abdominis | Gym mat |
| Cable Woodchoppers | Obliquus externus | Cable |
| Deadbug | — | Bodyweight |
| Flutter Kicks | Obliquus externus, Rectus abdominis | Bodyweight |
| Crunches With Legs Up | Rectus abdominis | Bodyweight |
| 2 Handed Kettlebell Swing | — | Kettlebell |
| L Sit | — | Bodyweight |
| Rotary Torso Machine | Rectus abdominis | Machine |
| TORSO TWIST | Rectus abdominis | Bodyweight |
| Side Plank | Obliquus externus | Bodyweight |
| Trunk Rotation With Cable | Obliquus externus | Cable |
| Plate Twist | Obliquus externus, Rectus abdominis | Gym mat |
| Medicine Ball Twist | Obliquus externus, Rectus abdominis | Swiss Ball |
| Vpushup | Chest, Quads, Abs, Triceps | Bodyweight |
| Plank Shoulder Taps | Anterior deltoid, Glutes, Abs | Gym mat |
| Weighted Crunch | Obliquus externus | Dumbbell |
| Dumbbell Side Bend | Obliquus externus | Dumbbell |
| W-Raise | Abs, Obliquus externus | Bodyweight |
| Black Widow Knee Slides | Abs, Obliquus externus | Bodyweight |
| Butterfly Sit Up | Abs, Obliquus externus | Bodyweight |
| Seated Corkscrew | Abs, Obliquus externus | Bodyweight |
| Levitation Crunch | Abs | Bodyweight |
| Sit Up Elbow Thrust | Abs, Obliquus externus | Bodyweight |
| Plank Jacks | Abs, Obliquus externus, Glutes | Bodyweight |
| Crunches With Cable | Abs | Cable |
| Clamshell | Glutes, Abs | Bodyweight |
| Double-Leg Abdominal Press | Abs | Gym mat |
| Abdominal Draw-In | Abs | Bodyweight |
| Bear crawl pull through | Anterior deltoid, Glutes, Quads, Abs | Dumbbell |
| Straddle L-Sit | Abs | Bodyweight |
| L-sit | Lats, Chest, Abs | Bodyweight |
| L-Sit (Foot Supported) | Lats, Chest, Abs, Serratus anterior | Bodyweight |
| Frog stand | Shoulders, Biceps, Brachialis, Abs | Bodyweight |
### CARDIO
| Exercise | Primary Muscles | Equipment |
|---|---|---|
| Zone 2 Running | — | Bodyweight |
| Swimming 50m sprints | — | — |
| Cycling | Obliquus externus, Trapezius | Bodyweight |
| Rowing Machine | Full body | Machine |
| Jumping Jacks | Gastrocnemius, Quads | Bodyweight |
| Recumbent Bike | Hamstrings, Calves, Glutes, Quads | Machine |
| box jumps | Gluteus maximus | Bodyweight |
| Bag training | Shoulders, Chest, Trapezius | — |
| Run - Treadmill | — | Machine |
| Treadmill Cardio | — | Machine |
| Cardio en bicicleta estática | — | Machine |
### CALVES
| Exercise | Primary Muscles | Equipment |
|---|---|---|
| Calf Raises on Hackenschmitt Machine | Gastrocnemius | Machine |
| Standing Calf Stretch | Calves | Bodyweight |
| Standing Soleus Stretch | Soleus | Bodyweight |
| Supported Calf Stretch | — | Bodyweight |
| Leg curl con elastico | Calves | Resistance band |
